Place,Code,Country,Admin1,Admin2,Admin3,
131,Piedras Anchas,51727,Mexico,México,Coatepec Harinas,
,   18.98/-99.782,,,,,
132,Huayanalco,51727,Mexico,México,Coatepec Harinas,
,   18.994/-99.806,,,,,
133,Llano Grande,51730,Mexico,México,Coatepec Harinas,
,   18.827/-99.768,,,,,
134,Puerta del Carmen,51730,Mexico,México,Coatepec Harinas,
,   18.837/-99.774,,,,,
135,Meyuca de Morelos,51733,Mexico,México,Coatepec Harinas,
,   18.854/-99.783,,,,,
136,Baja de Laja Azul,51733,Mexico,México,Coatepec Harinas,
,   18.871/-99.794,,,,,
137,Alta de Laja Azul,51733,Mexico,México,Coatepec Harinas,
,   18.89/-99.805,,,,,
138,El Cedrito,51734,Mexico,México,Coatepec Harinas,
,   18.854/-99.742,,,,,
139,San Luis,51734,Mexico,México,Coatepec Harinas,
,   18.885/-99.76,,,,,
140,El Reynoso,51734,Mexico,México,Coatepec Harinas,
,   18.884/-99.742,,,,,
141,Adolfo López Mateos,51735,Mexico,México,Coatepec Harinas,
,   18.847/-99.753,,,,,
142,La Cercada,51735,Mexico,México,Coatepec Harinas,
,   18.879/-99.785,,,,,
143,Las Vueltas,51750,Mexico,México,Coatepec Harinas,
,   18.903/-99.856,,,,,
144,Chiltepec,51750,Mexico,México,Coatepec Harinas,
,   18.913/-99.834,,,,,
145,La Laguna,51750,Mexico,México,Coatepec Harinas,
,   18.908/-99.829,,,,,
146,Monte de las Vueltas,51753,Mexico,México,Coatepec Harinas,
,   18.919/-99.869,,,,,
147,La Galera,51753,Mexico,México,Coatepec Harinas,
,   18.931/-99.869,,,,,
148,San Pedro,51754,Mexico,México,Coatepec Harinas,
,   18.929/-99.816,,,,,
149,Cruz de Piedra,51754,Mexico,México,Coatepec Harinas,
,   18.94/-99.814,,,,,
150,Las Mesas,51754,Mexico,México,Coatepec Harinas,
,   18.927/-99.828,,,,,
151,Ixtlahuaca de Villada,51754,Mexico,México,Coatepec Harinas,
,   18.92/-99.807,,,,,
152,15 de Mayo,51760,Mexico,México,Villa Guerrero,
,   18.956/-99.644,,,,,
153,San Francisco,51760,Mexico,México,Villa Guerrero,
,   18.949/-99.647,,,,,
154,Villa Guerrero,51760,Mexico,México,Villa Guerrero,
,   18.962/-99.641,,,,,
155,Coxcacuaco,51765,Mexico,México,Villa Guerrero,
,   18.964/-99.646,,,,,
